,output product,import requirements,value
412,"Creative, arts and entertainment services",Mining Of Coal And Lignite,0
413,"Libraries, archives, museums and other cultural services",Mining Of Coal And Lignite,0
414,Gambling and betting services,Mining Of Coal And Lignite,0
415,Sports services and amusement and recreation services,Mining Of Coal And Lignite,0
416,Services furnished by membership organisations,Mining Of Coal And Lignite,0
417,Repair services of computers and personal and household goods,Mining Of Coal And Lignite,0
418,Other personal services,Mining Of Coal And Lignite,0
419,Services of households as employers of domestic personnel,Mining Of Coal And Lignite,0
420,"Products of agriculture, hunting and related services",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
421,"Products of forestry, logging and related services",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
422,Fish and other fishing products; aquaculture products; support services to fishing,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
423,Coal and lignite,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
424,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,168
425,Other mining and quarrying products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
426,Mining support services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,38
427,Preserved meat and meat products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
428,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
429,Vegetable and animal oils and fats,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
430,Dairy products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
431,"Grain mill products, starches and starch products",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
432,Bakery and farinaceous products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
433,Other food products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
434,Prepared animal feeds,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
435,Alcoholic beverages  & Tobacco products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
436,Soft drinks,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
437,Textiles,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
438,Wearing apparel,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
439,Leather and related products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
440,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
441,Paper and paper products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
442,Printing and recording services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
443,Coke and refined petroleum products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,31
444,"Paints, varnishes and similar coatings, printing ink and mastics",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
445,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
446,Other chemical products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
447,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
448,Petrochemicals - 20.14/16/17/60,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
449,"Dyestuffs, agro-chemicals - 20.12/20",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
450,Basic pharmaceutical products and pharmaceutical preparations,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
451,Rubber and plastic products,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
452,"Cement, lime, plaster and articles of concrete, cement and plaster",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
453,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
454,Basic iron and steel,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,55
455,Other basic metals and casting,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
456,Weapons and ammunition,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
457,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,23
458,"Computer, electronic and optical products",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,97
459,Electrical equipment,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
460,Machinery and equipment n.e.c.,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,65
461,"Motor vehicles, trailers and semi-trailers",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
462,Ships and boats,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
463,Air and spacecraft and related machinery,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
464,Other transport equipment - 30.2/4/9,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
465,Furniture,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
466,Other manufactured goods,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,1
467,Repair and maintenance of ships and boats,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,1
468,Repair and maintenance of aircraft and spacecraft,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
469,Rest of repair; Installation - 33.11-14/17/19/20,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
470,"Electricity, transmission and distribution",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
471,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
472,Natural water; water treatment and supply services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
473,Sewerage services; sewage sludge,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
474,"Waste collection, treatment and disposal services; materials recovery services",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
475,Remediation services and other waste management services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
476,Construction,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
477,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
478,"Wholesale trade services, except of motor vehicles and motorcycles",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
479,"Retail trade services, except of motor vehicles and motorcycles",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
480,Rail transport services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
481,"Land transport services and transport services via pipelines, excluding rail transport",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,28
482,Water transport services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,44
483,Air transport services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,19
484,Warehousing and support services for transportation,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
485,Postal and courier services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
486,Accommodation services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
487,Food and beverage serving services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
488,Publishing services,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
489,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0
